grb,time _ut_,trigger number,bat ra _j2000_,bat dec _j2000_,bat 90_ error radius _arcmin_,bat t90 _sec_,bat fluence _15_150 kev_ _10__7 erg_cm_2_,bat fluence 90_ error _15_150 kev_ _10__7 erg_cm_2_,bat 1_sec peak photon flux _15_150 kev_ _ph_cm_2_sec_,bat 1_sec peak photon flux 90_ error _15_150 kev_ _ph_cm_2_sec_,bat photon index _15_150 kev_ _pl _ simple power_law_ cpl _ cutoff power_law_,bat photon index 90_ error _15_150 kev_,hardness ratio,epeak,satellite_source,grb_class
220806A,18:08:39,1119268,260.858,-26.021,2.0,4.78,1.5,0.3,1.1,0.2,"2.81, PL",0.33,0.11010093,0.0,Swift BAT,
220730A,15:48:55,1118357,224.988,-69.496,1.7,0.19,1.6,0.2,1.6,0.3,"0.61, PL",0.25,1.4274546,0.0,Swift BAT,
220715B,22:24:42,1116441,254.86,-33.586,1.1,40.40,12,1.0,1.3,0.2,"1.36, PL",0.11,0.6020887,0.0,Swift BAT,
220714B,13:58:04,1116221,47.086,-19.321,1.3,50.10,44,1.0,3.8,0.2,"1.92, PL",0.07,0.3137472,0.0,Swift BAT,
220711B,18:16:28,1115766,262.018,24.674,1.3,88.64,60,3.0,2.0,0.4,"1.75, PL",0.08,0.38263845,0.0,Swift BAT,
220708A,04:39:29,1115156,103.038,72.199,2.2,4.4,1.3,0.3,0.8,0.2,"2.31, PL",0.32,0.19859374,0.0,Swift BAT,
220706A,16:09:14,1114937,0.577,-16.411,1.8,86.9,14,1.0,0.9,0.2,"1.75, PL",0.17,0.38263845,0.0,Swift BAT,
220701A,04:52:58,1114034,242.474,55.436,2.5,5.77,1.8,0.4,0.7,0.2,"1.37, PL",0.34,0.595153,0.0,Swift BAT,
220623A,07:04:14,1111672,145.459,75.823,1.0,57.11,35,1.0,4.5,0.2,"1.33, PL",0.07,0.6233771,0.0,Swift BAT,
220618A,09:10:29,1110821,38.986,55.218,2.0,96.00,22,3.0,0.8,0.4,"0.26, CPL",0.85,2.1274161,226.0,Swift BAT,
220521A,23:20:21,1107466,275.218,10.372,1.7,13.55,8.1,0.8,4.7,0.4,"1.97, PL",0.18,0.2959244,0.0,Swift BAT,
220518A,06:19:20,1107050,55.34,-47.593,2.0,12.29,5.7,0.8,1.8,0.3,"1.71, PL",0.21,0.40090278,0.0,Swift BAT,
220501A,19:51:51,1104842,85.583,14.01,1.6,202.24,22,2.0,1.2,0.2,"0.64, CPL",0.62,1.3793055,264.0,Swift BAT,
220430A,13:53:15,1104692,97.616,9.547,1.0,43.10,440,5.0,29.6,0.6,"1.24, PL",0.02,0.69179153,0.0,Swift BAT,
220427A,21:00:34,1104343,275.922,-56.257,2.0,57.2,21,2.0,3.0,0.3,"1.23, PL",0.13,0.69983524,0.0,Swift BAT,
220412B,17:06:49,1102329,320.758,-0.261,1.6,0.14,0.89,0.12,1.0,0.2,"1.17, PL",0.20,0.7500686,0.0,Swift BAT,
220412A,06:36:50,1102281,123.975,30.336,1.9,41.66,5.9,0.9,0.5,0.1,"1.53, PL",0.21,0.4943132,0.0,Swift BAT,
220408A,05:46:04,1101675,202.399,47.065,1.2,17.25,12,1.0,4.9,0.4,"1.19, CPL",0.57,0.7329417,319.0,Swift BAT,
220404A,11:54:30,1101133,50.413,10.001,2.7,2.54,1.4,0.3,1.1,0.3,"1.90, PL",0.36,0.3211693,0.0,Swift BAT,
220403B,20:42:42,1101053,190.974,89.18,1.0,27.0,37,1.0,2.7,0.3,"1.94, PL",0.06,0.3064944,0.0,Swift BAT,
220325A,17:16:23,1099310,269.469,-7.055,1.5,3.50,2.9,0.4,2.0,0.3,"0.69, CPL",1.13,1.3025872,269.0,Swift BAT,
220319A,17:40:33,1098132,218.139,61.291,1.9,6.44,2.3,0.4,1.5,0.2,"2.15, PL",0.28,0.23965424,0.0,Swift BAT,
220306B,18:15:37,1095288,5.38,71.384,1.6,12.34,6.0,0.7,2.3,0.3,"1.30, PL",0.20,0.64540666,0.0,Swift BAT,
220305A,16:13:08,1095215,107.61,-37.703,1.5,21.12,20,2.0,2.1,0.5,"1.66, PL",0.15,0.42494592,0.0,Swift BAT,
220118A,18:20:38,1093742,192.277,22.911,1.4,10.61,18,1.0,3.3,0.5,"1.67, PL",0.12,0.4200262,0.0,Swift BAT,
220117B,20:05:28,1093611,191.989,-28.762,2.7,24.37,2.9,0.6,0.5,0.2,"1.94, Pl",0.32,0.3064944,0.0,Swift BAT,
220117A,16:18:51,1093592,91.59,-28.402,1.7,49.81,16,2.0,1.9,0.4,"1.84, PL",0.18,0.3444907,0.0,Swift BAT,
220101A,05:09:55,1091527,1.36,31.758,2.2,173.36,250,0.0,7.3,0.3,"1.13, CPL",0.13,0.7855134,313.0,Swift BAT,
211227A,23:32:06,1091101,132.144,-2.736,1.4,83.79,80,2.0,5.1,0.4,"1.60, PL",0.05,0.45567983,0.0,Swift BAT,
211225B,13:12:19,1090853,258.545,17.277,1.0,121.54,150,3.0,6.1,0.3,"1.31, CPL",0.14,0.63797957,331.0,Swift BAT,
211223C,14:29:26,1090656,227.165,-26.878,1.2,15.00,24,1.0,3.1,0.4,"1.15, PL",0.09,0.76758957,0.0,Swift BAT,
211221A,20:48:40,1090472,78.906,0.902,2.6,671.67,40,3.0,0.5,0.1,"1.48, PL",0.13,0.5238675,0.0,Swift BAT,
211211A,13:09:59,1088940,212.272,27.884,1.0,51.37,1500,20.0,155.0,3.1,"1.56, PL",0.02,0.47737595,0.0,Swift BAT,
211207A,20:52:56,1088376,149.601,-24.36,2.3,3.73,1.9,0.4,0.9,0.2,"1.72, PL",0.30,0.39625767,0.0,Swift BAT,
211129A,09:51:06,1085430,274.565,31.781,1.5,113.01,23,2.0,1.5,0.2,"1.75, PL",0.13,0.38263845,0.0,Swift BAT,
211025A,05:10:20,1081113,162.407,31.506,2.3,103.5,7.7,1.4,0.5,0.1,"1.96, PL",0.28,0.29940712,0.0,Swift BAT,
211024B,22:20:36,1081073,154.708,24.566,1.0,603.5,68,3.0,0.9,0.2,"1.63, PL",0.09,0.44004846,0.0,Swift BAT,
211023B,21:05:52,1080859,170.314,39.133,2.0,1.30,1.7,0.3,2.2,0.3,"1.97, PL",0.24,0.2959244,0.0,Swift BAT,
210930A,02:46:52,1075565,197.415,48.63,1.6,11.81,4.0,0.5,0.7,0.2,"1.58, PL",0.19,0.46640354,0.0,Swift BAT,
210919A,00:28:33,1073893,80.242,1.286,2.0,0.16,0.88,0.17,1.5,0.3,"1.58, PL",0.27,0.46640354,0.0,Swift BAT,
210912A,11:01:11,1072990,129.874,79.216,1.2,28.35,11,1.0,1.7,0.2,"1.61, PL",0.13,0.4504095,0.0,Swift BAT,
210901A,15:04:36,1071488,295.224,-76.942,1.9,46.77,31,3.0,2.4,0.6,"2.08, PL",0.17,0.26015654,0.0,Swift BAT,
210824A,04:10:01,1070157,232.115,11.169,1.2,37.55,17,1.0,1.3,0.2,"1.18, PL",0.11,0.74145645,0.0,Swift BAT,
210822A,09:18:18,1069788,304.461,5.265,1.0,180.8,200,4.0,27.7,0.7,"1.30, PL",0.4,0.64540666,0.0,Swift BAT,
210820A,17:38:00,1069551,20.622,4.642,3.4,196.8,15,2.0,0.8,0.2,"2.26, PL",0.22,0.21061602,0.0,Swift BAT,
210818A,01:02:08,1069169,148.949,-87.029,1.0,73.56,160,3.0,11.2,0.4,"1.22, PL",0.03,0.7079711,0.0,Swift BAT,
210807C,22:57:08,1064421,143.54,-51.409,1.0,89.97,120,0.0,4.0,0.7,"1.65, PL",0.06,0.42992243,0.0,Swift BAT,
210807A,10:03:40,1064221,76.666,58.257,1.5,156.30,95,4.0,1.8,0.4,"1.26, PL",0.08,0.6759763,0.0,Swift BAT,
210731A,22:21:08,1062336,300.311,-28.056,1.7,22.51,22,2.0,1.6,0.3,"-0.25, CPL",0.59,3.7896094,175.0,Swift BAT,
210730A,04:57:29,1062150,149.57,69.703,1.0,3.86,13,1.0,7.1,0.5,"1.41, PL",0.11,0.5681886,0.0,Swift BAT,
210726A,19:19:03,1061687,193.333,19.211,2.6,0.39,0.45,0.11,0.7,0.3,"1.54, PL",0.47,0.48860267,0.0,Swift BAT,
210725B,12:00:48,1061554,192.914,17.13,2.7,48.00,4.9,1.1,0.6,0.2,"1.16, PL",0.43,0.7587793,0.0,Swift BAT,
210725A,03:47:02,1061511,215.381,-1.177,2.3,53.54,8.1,1.2,1.0,0.2,"1.42, PL",0.32,0.5616379,0.0,Swift BAT,
210724A,20:14:09,1061482,227.425,-6.279,1.9,50.57,18,2.0,2.5,0.8,"2.30, PL",0.28,0.20094265,0.0,Swift BAT,
210723A,14:46:10,1061284,121.723,-32.893,1.0,48.54,53,2.0,3.1,0.3,"0.85, CPL",0.29,1.084249,285.0,Swift BAT,
210722A,20:54:42,1061223,27.031,-6.347,1.2,50.20,25,2.0,2.2,0.5,"1.62, PL",0.14,0.44519925,0.0,Swift BAT,
210712A,09:43:11,1059881,97.322,-35.376,1.7,136.41,30,3.0,2.3,0.3,"1.00, CPL",0.53,0.9,300.0,Swift BAT,
210708B,13:23:24,1059494,142.594,14.523,2.5,298.43,22,4.0,0.0,0.3,"1.62, PL",0.26,0.44519925,0.0,Swift BAT,
210708A,02:25:37,1059460,173.759,-49.164,2.2,2.77,1.1,0.2,0.8,0.2,"2.05, PL",0.29,0.26946473,0.0,Swift BAT,
210619B,23:59:25,1056757,319.718,33.85,1.0,60.90,950,10.0,115.0,2.2,"1.41, PL",0.02,0.5681886,0.0,Swift BAT,
210618A,01:43:37,1056426,235.763,46.072,2.0,2.13,1.8,0.3,1.1,0.2,"1.18, PL",0.28,0.74145645,0.0,Swift BAT,
210610B,19:51:27,1054681,243.929,14.398,1.0,69.38,360,10.0,13.5,0.7,"0.98, CPL",0.11,0.93374014,298.0,Swift BAT,
210610A,15:03:43,1054627,204.284,14.476,1.7,13.62,10,1.0,2.4,0.4,"1.41, PL",0.19,0.5681886,0.0,Swift BAT,
