Common_Key,fluence_channel_1,error_fluence_channel_1,fluence_channel_2,error_fluence_channel_2,fluence_channel_3,error_fluence_channel_3,fluence_channel_4,error_fluence_channel_4,epeak,epeak_error,alpha,alpha_error,beta,beta_error,amplitude,amplitude_error,peak_flux_64ms,error_peak_flux_64ms,time_peak_flux_64ms,peak_flux_256ms,error_peak_flux_256ms,time_peak_flux_256ms,peak_flux_1024ms,error_peak_flux_1024ms,time_peak_flux_1024ms,T50,T50 Uncertainty,T50 Start Time,T90,T90 Uncertainty,T90 Start Time
3290,2.9866e-06,2.6916e-08,3.2049e-06,2.4991e-08,6.8947e-06,6.6983e-08,4.4107e-06,6.2377e-07,188.6,4.01,-0.858,0.0305,-3.014,0.146,0.1283,0.0042,10.85,0.361,39.744,10.704,0.179,39.872,10.256,0.088,40.64,3.456,0.091,38.336,43.648,0.264,2.944
3292,6.6941e-07,4.5805e-08,6.582e-07,3.6633e-08,1.1642e-06,8.9918e-08,5.8302e-06,1.4451e-06,157.0,73.4,-1.227,0.424,-2.114,0.277,0.006942,0.00368,1.029,0.198,103.936,0.802,0.096,102.208,0.74,0.048,102.784,77.632,1.93,24.32,113.952,4.845,-3.072
3294,6.1734e-08,1.5716e-08,6.4091e-08,1.1898e-08,6.2769e-07,3.2407e-08,4.0837e-06,5.4725e-07,514.0,85.4,-0.4824,0.158,-6.104,194.0,0.006084,0.000555,2.056,0.231,0.64,1.695,0.112,0.704,1.427,0.054,0.896,1.056,0.023,0.371,2.389,0.072,-0.061
3297,1.8407e-08,3.9546e-09,2.9969e-08,4.2055e-09,1.4965e-07,1.2742e-08,6.1387e-07,1.6938e-07,684.7,901.0,-0.6974,0.577,-1.911,1.55,0.001794,0.000725,4.453,0.334,0.128,2.43,0.138,0.256,0.766,0.056,0.64,0.096,0.023,0.047,0.272,0.023,-0.017
3301,7.1427e-07,2.2889e-08,1.132e-06,2.4391e-08,5.2282e-06,6.8486e-08,2.2572e-05,1.0291e-06,513.0,56.7,-0.6085,0.0676,-1.929,0.104,0.01863,0.000981,2.979,0.229,12.352,2.807,0.113,12.544,2.521,0.054,12.544,12.288,0.286,4.8,36.096,1.408,-2.672
3306,2.9814e-06,5.017e-08,2.9324e-06,4.0359e-08,5.6391e-06,9.6806e-08,4.633e-06,8.6617e-07,168.4,16.4,-1.249,0.11,-2.625,0.327,0.0211,0.0025,3.496,0.244,90.048,3.284,0.12,90.24,2.746,0.057,90.816,72.96,0.41,13.632,108.512,1.361,-6.144
3319,8.1805e-08,1.0452e-08,1.7383e-07,9.2172e-09,5.7123e-07,2.6957e-08,5.5642e-07,2.4689e-07,176.2,11.2,0.09187,0.22,-3.75,1.48,0.03126,0.00662,2.279,0.244,1.024,2.107,0.121,1.024,1.583,0.058,1.024,171.968,1.026,1.152,206.272,5.889,-0.128
3320,8.8699e-07,2.9415e-08,1.7396e-06,2.9846e-08,3.6397e-06,7.5248e-08,9.3582e-07,4.7204e-07,137.2,8.05,0.0466,0.249,-3.732,1.2,0.03473,0.00964,1.447,0.194,22.08,1.142,0.095,22.272,1.103,0.047,23.04,18.752,0.32,12.16,42.624,1.214,1.536
3321,4.0084e-08,9.2379e-09,9.7315e-08,1.0193e-08,4.884e-07,2.7713e-08,6.0432e-07,2.6906e-07,274.8,73.9,0.248,0.627,-2.308,0.632,0.00472,0.00224,0.709,0.163,5.44,0.565,0.08,6.4,0.399,0.039,6.4,7.936,0.272,2.496,22.912,1.12,-0.384
3322,7.5962e-08,1.849e-08,2.1349e-07,1.6192e-08,6.4744e-07,5.106e-08,2.0529e-07,4.1623e-07,185.9,26.5,0.3456,0.566,-5.458,33.6,0.009658,0.0049,0.961,0.18,4.544,0.771,0.089,4.672,0.662,0.044,5.056,11.36,1.042,-5.12,26.72,4.845,-16.384
3323,0.0,1.9813e-09,1.8105e-08,3.062e-09,1.3391e-07,1.0239e-08,3.7932e-07,9.36e-08,346.6,114.0,0.5647,0.768,-2.164,0.634,0.002823,0.00133,1.581,0.194,0.256,1.191,0.091,0.384,0.559,0.04,0.576,0.176,0.023,0.152,0.448,0.115,0.056
3324,3.7205e-08,1.1641e-08,9.8022e-08,1.0299e-08,3.7018e-07,3.1113e-08,0.0,2.4483e-07,164.2,28.4,2.151,1.62,-3.19,1.4,0.02923,0.0423,0.601,0.194,4.864,0.478,0.096,-0.64,0.354,0.047,-0.128,15.872,1.059,1.216,37.824,7.38,-2.288
3330,1.5182e-06,4.2929e-08,1.6962e-06,3.5642e-08,8.9963e-06,9.0814e-08,3.4649e-05,1.1242e-06,477.3,34.6,-0.4994,0.0559,-2.038,0.0826,0.02744,0.00114,8.818,0.341,4.288,6.749,0.154,4.416,4.792,0.069,4.928,32.576,0.389,7.04,61.952,1.921,4.032
3335,1.0877e-08,6.0906e-09,1.1988e-08,5.1343e-09,1.0201e-07,1.3018e-08,5.5887e-07,1.8029e-07,698.0,572.0,-0.6039,0.476,-8.837,5.59,0.001411,0.000397,0.751,0.17,0.064,0.734,0.085,0.128,0.399,0.04,0.384,0.614,0.066,-0.576,1.254,0.08,-1.088
3336,1.5352e-06,4.1998e-08,2.1318e-06,4.378e-08,7.1451e-06,1.2051e-07,3.7883e-06,1.0873e-06,208.4,23.7,0.3815,0.321,-2.201,0.191,0.02051,0.00622,1.472,0.187,49.152,1.352,0.092,49.216,1.042,0.043,49.728,92.096,0.181,7.232,152.8,1.056,-20.48
3338,7.115e-09,1.5023e-09,1.5199e-08,1.7987e-09,4.2207e-08,5.1074e-09,0.0,4.5723e-08,142.3,67.7,-0.9184,1.02,-7.286,3.31,0.002155,0.00244,2.624,0.227,0.0,1.105,0.094,0.064,0.253,0.041,0.576,0.04,0.006,-0.023,0.108,0.016,-0.055
3339,1.9855e-07,2.8725e-08,2.0763e-07,2.4842e-08,7.5357e-07,6.6122e-08,6.264e-06,1.3253e-06,206.5,147.0,0.1425,1.6,-1.843,0.45,0.003538,0.00573,0.712,0.158,-0.192,0.573,0.076,-0.064,0.383,0.036,0.064,20.768,2.319,-7.424,51.68,5.044,-24.832
3345,3.0184e-06,5.7495e-08,3.3e-06,4.1511e-08,1.1142e-05,1.1778e-07,1.4645e-05,1.234e-06,226.9,17.5,-1.115,0.0621,-2.329,0.128,0.0479,0.00314,7.378,0.363,3.52,6.759,0.177,3.584,6.379,0.087,3.84,5.504,0.143,2.304,40.416,1.208,-22.016
